citing_title	citing_context	citing_abs	citing_author	citing_doi	cited_title	cited_context	cited_abs	cited_author	cited_doi	category
School Firearm Violence Prevention Practices and Policies: Functional or Folly?	For example, in a national study of parents of high school students, almost a tenth of the parents (9%) reported that a firearm-related incident had occurred in their child's school within the past 5 years (e.g., student found with gun on campus, bullet found, student threatened peers with guns, etc.)	Firearm injuries are the third leading cause of death for youth (14% of all deaths of youth 1–19 years of age). In 2016, there were 3155 firearm deaths of youths <19 years of age. Recently, school firearm violence and school shootings have received increasing attention from school personnel, policymakers, and in the mass media. However, little is known about prevention and reduction of school firearm violence. The purpose of this narrative review is to describe the current practices regarding school firearm violence prevention and use of the disease prevention and health promotion framework to describe current practices and policies on school firearm violence prevention measures. A comprehensive review of the literature was conducted from the years 2000 to 2018 to search for school-based practices to reduce firearm violence. Hundreds of millions of dollars have been spent to harden schools. None of the currently employed school firearm violence prevention methods have empirical evidence to show that they actually diminish firearm violence in schools. To the extent that schools adopt ineffective firearm violence prevention measures, they are creating a false sense of security. School systems need to engage in collaborative research for evidence-based practices and policy advocacy through coalition building to address state firearm laws. Schools also need to expand their mental health services and cost-effective educational interventions for reducing violence (e.g., bullying, peer mediation, conflict resolution, etc.). Hardening of schools seems to be a questionable endeavor for most schools, given the dearth of evidence regarding effectiveness. 	JH Price	10.1089/vio.2018.0044 	Parents’ Expectations of High Schools in Firearm Violence Prevention	In the past 5 years had a firearm incident at your child’s school(8.6%),	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	10.1007/s10900-017-0360-5 	good
Arming Schoolteachers: What Do We Know? Where Do We Go From Here?	a recent study that used a national sample found that more than half of the parents of school-aged children oppose school personnel carrying firearms	The recent mass school shooting in Parkland, Florida, has reignited a national conversation about arming teachers. Although gun violence prevention research has been historically underfunded,1 there has been strong support for studying the prevalence of violent behaviors more broadly in schools and the role of preventive efforts (via curricula, increased social support services, and parent engagement) in reducing these behaviors. However, we know little, if anything, about the effectiveness of arming teachers in deterring gun violence in schools. Furthermore, uncertainty about how schools should operationalize this kind of proposal perpetuates concerns.As teachers, school administrators, parents, and policymakers seek to build safer school communities, we need a far better understanding of the implications of arming teachers on the school environment, on a child's development, on student learning outcomes, on existing school safety policies, and on the full costs of such interventions, including the added responsibilities that it would impose on teachers and school administrators. We arm uniformed police officers with the expectation that they have been appropriately trained to protect us with their firearms in times of crisis. Although teachers are conceivably capable of appropriately using firearms, no evidence-based guidelines are available to help us develop the necessary training for teachers and continued instruction needed to maintain their preparedness so that they would be ready when crisis strikes. We also have no means for identifying teachers who would be willing to take on this significant responsibility. Nor do we have enough information on whether nonuniformed, armed civilian teachers would reduce or increase risks for themselves and their students when uniformed law enforcement arrives during a crisis. In other words, we are debating whether a new profession that combines the responsibilities of a law enforcement officer and a teacher is even feasible, given all these caveats.	Sonali Rajan 	10.2105/AJPH.2018.304464 	Parents’ Expectations of High Schools in Firearm Violence Prevention	Support school personnel carrying firearms at child’s school (45.9%)	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	11.1007/s10900-017-0360-5 	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	In one survey, parents were supportive of school-law enforcement partnerships to promote safety and respond to violence in schools, and they also saw a relationship between improving mental health services generally and reducing school violence	The purpose of this scoping literature review was to examine research on police involvement in school mental health crisis response. The search was conducted in PsychInfo, PubMed, and ERIC and initially identified 315 articles. After applying inclusion/exclusion criteria, 47 articles remained. Detailed review and data extraction by three independent reviewers resulted in a final article count of nine. Three primary themes were identified across articles: (1) perceptions and consequences of law enforcement presence in schools; (2) the role of school-community partnerships in successful crisis response models; and (3) gaps in research and challenges of implementing and scaling existing models. Though in practice law enforcement officers are often involved in school mental health crisis response, there is limited empirical research supporting this approach. Our review did not return any randomized trials. In the absence of empirical evidence supporting the use of current models, there is a need for research on law enforcement involvement in school crisis response and, more broadly, community-partnered models of responding to student mental health needs. 	Kristen R. Choi 	10.1007/s12310-021-09477-z 	Parents’ Expectations of High Schools in Firearm Violence Prevention	The top five policies supported as “very effective” were: work with law enforcement to design and implement an emergency response plan. Two of the five policies were  selected as being very effective in reducing firearm violence by the majority of parents: require background  checks for all gun purchases (63.4%) and increase funding  for mental health services (56.8%)	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	12.1007/s10900-017-0360-5 	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	This survey was with a primarily White (76% of respondents), suburban (54% of respondents), and male (56% of respondents) sample and may not represent the views of all parents, particularly those from urban school districts or Black- or Hispanic-majority schools	The purpose of this scoping literature review was to examine research on police involvement in school mental health crisis response. The search was conducted in PsychInfo, PubMed, and ERIC and initially identified 315 articles. After applying inclusion/exclusion criteria, 47 articles remained. Detailed review and data extraction by three independent reviewers resulted in a final article count of nine. Three primary themes were identified across articles: (1) perceptions and consequences of law enforcement presence in schools; (2) the role of school-community partnerships in successful crisis response models; and (3) gaps in research and challenges of implementing and scaling existing models. Though in practice law enforcement officers are often involved in school mental health crisis response, there is limited empirical research supporting this approach. Our review did not return any randomized trials. In the absence of empirical evidence supporting the use of current models, there is a need for research on law enforcement involvement in school crisis response and, more broadly, community-partnered models of responding to student mental health needs. 	Kristen R. Choi 	11.1007/s12310-021-09477-z 	Parents’ Expectations of High Schools in Firearm Violence Prevention	White  (75.9%) Suburban (53.7%)  Male  (55.7%)	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	13.1007/s10900-017-0360-5 	good
Teacher Preparedness for School Shootings: A Qualitative Design and Development Model Use Case Study	Since the tragic events at Columbine in April 1999, many schools across the country began safety initiatives with or without the help of law enforcement and other trained professionals	Many industries implement online learning for training and professional development to enhance the student experience. The specific problem addressed in this study was school staff do not have adequate knowledge of mitigating violence, such as school shootings, with ineffective current professional development. This design and development model use case study aimed to use a validated instructional design model to design, develop, and implement professional development for K–12 teachers and staff to mitigate school shooting risks as informed by content experts. The conceptual framework for this study consisted of constructivism and interpretivism theories for adult students. The student experience was assessed with Kirkpatrick’s evaluation Levels 1 and 2. The samples for this qualitative study included three content experts and four K– 12 teachers. Data were analyzed using deductive and inductive coding and Clarke and Braun’s six steps of thematic analysis after coding using NVivo. K–12 teachers found value in the content and delivery of the improved professional development and feel better prepared to assist troubled students and prevent violence. The teachers expressed positive feedback about continuing such training and performed well on the summative assessment. Study implications are using a validated instructional design model and panel of experts to improve the student experience and professional development content improves preparedness. Sensitive content can be effectively delivered using instructional design best practices. Participants feel better prepared to work with others in the community, such as law enforcement, to improve training. This study contributes to practice by demonstrating how professional development about school shootings can be relevant and engaging. Social-Emotional Learning programs and practices should expand, and K–12 teachers and staff must foster partnerships with local law enforcement and other emergency management experts. 	Schoumaker, Jessica Ann 	10.1007/s12310-020-09369-8 	Parents’ Expectations of High Schools in Firearm Violence Prevention	The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%) 	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	14.1007/s10900-017-0360-5 	neutral
PUBLIC SCHOOL SAFETY AND INTERVENTION PROGRAM IMPROVEMENT PARTICIPATORY ACTION RESEARCH	The purpose of the study was to assess parental thoughts on what high school administrators should be doing to reduce the risk of firearm violence in schools	Participatory action research is a process in which researchers operate as full collaborators with members of an organization (stakeholders) in linking theory and research to acceptable and effective practice. Schools are being charged to use this approach to address the challenges of developing system-level interventions for many of their current problematic areas, such as family-school partnerships with economically disadvantaged and culturally and linguistically diverse families. Participatory action research is a means for school psychologists, as participatory researchers, to provide leadership for collaborative research within schools for the development of system-level interventions. A case study is described in which a school psychologist served as the participatory researcher in an action research process for the development of a family-school partnership program in a Chapter I, ethnically and linguistically diverse elementary school. The outcomes indicated that the participatory action research process resulted in the design and implementation of a research-based family-school partnership program that was culturally specific, was acceptable to stakeholders (parents and teachers), and had the potential for sustainability. Participatory action research is a viable means for school psychologists to provide leadership in developing research-based, effective and acceptable system-level interventions in their schools. 	Bonnie S. Ho	10.1080/02796015.2002.12086145 	Parents’ Expectations of High Schools in Firearm Violence Prevention	The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. 	Firearm violence remains a significant problem in the US (with 2787 adolescents killed in 2015). However, the research on school firearm violence prevention practices and policies is scant. Parents are major stakeholders in relation to firearm violence by youths and school safety in general. The purpose of this study was to examine what parents thought schools should be doing to reduce the risk of firearm violence in schools. A valid and reliable questionnaire was mailed to a national random sample of 600 parents who had at least one child enrolled in a public secondary school (response rate=47%). Parents perceived inadequate parental monitoring/rearing practices (73%), peer harassment and/or bullying (58%), inadequate mental health care services for youth (54%), and easy access to guns (51%) as major causes of firearm violence in schools. The school policies perceived to be most effective in reducing firearm violence were installing an alert system in schools (70%), working with law enforcement to design an emergency response plan (70%), creating a comprehensive security plan (68%), requiring criminal background checks for all school personnel prior to hiring (67%), and implementing an anonymous system for students to report peer concerns regarding potential violence (67%). Parents seem to have a limited grasp of potentially effective interventions to reduce firearm violence. 	Erika Payton	15.1007/s10900-017-0360-5 	good
